SampleID	Complete	Single-copy	Duplicated	Fragmented	Missing	Total
Montipora_cactus_SLJPv2	92.1% (879)	91.4% (872)	0.7% (7)	4.3% (41)	3.6% (34)	100% (954)
Montipora_capitata_KBHIv3	95.7% (913)	94.1% (898)	1.6% (15)	2.2% (21)	2.1% (20)	100% (954)
Montipora_capitata_WTHIv1.1	84.1% (802)	82.8% (790)	1.3% (12)	10.4% (99)	5.5% (53)	100% (954)
Montipora_efflorescens_SLJPv2	90.1% (860)	89.2% (851)	0.9% (9)	4.8% (46)	5.1% (48)	100% (954)
Montipora_sp1_aff_capitata_ULFMv1	85.2% (813)	84.5% (806)	0.7% (7)	9.0% (86)	5.8% (55)	100% (954)
Pocillopora_acuta_KBHIv2	96.1% (917)	93.6% (893)	2.5% (24)	1.9% (18)	2.0% (19)	100% (954)
Pocillopora_acuta_LBIDv1	89.4% (853)	89.0% (849)	0.4% (4)	6.9% (66)	3.7% (35)	100% (954)
Pocillopora_damicornis_SIPAv1	90.7% (865)	90.5% (863)	0.2% (2)	4.2% (40)	5.1% (49)	100% (954)
Pocillopora_meandrina_KBHIv1	96.1% (916)	94.9% (905)	1.2% (11)	2.0% (19)	1.9% (19)	100% (954)
Pocillopora_verrucosa_RSSAv1	94.9% (906)	92.0% (878)	2.9% (28)	2.5% (24)	2.6% (24)	100% (954)
Porites_australiensis_SLJPv1	91.6% (874)	88.5% (844)	3.1% (30)	5.3% (51)	3.1% (29)	100% (954)
Porites_compressa_KBHIv1	95.5% (911)	93.7% (894)	1.8% (17)	2.3% (22)	2.2% (21)	100% (954)
Porites_lutea_OIAUv1.1	95.3% (909)	93.5% (892)	1.8% (17)	2.1% (20)	2.6% (25)	100% (954)
Porites_rus_NAIDv1	69.6% (664)	67.2% (641)	2.4% (23)	17.5% (167)	12.9% (123)	100% (954)
Montipora_capitata_KBHIv3.chromosomes	95.5% (911)	94.8% (904)	0.7% (7)	2.2% (21)	2.3% (22)	100% (954)
Montipora_capitata_KBHIv3.extrachromosomal	1.7% (16)	1.2% (11)	0.5% (5)	1.0% (10)	97.3% (928)	100% (954)
