SampleID	Complete	Single-copy	Duplicated	Fragmented	Missing	Total
Montipora_cactus_SLJPv2	90.2% (230)	89.8% (229)	0.4% (1)	8.2% (21)	1.6% (4)	100% (255)
Montipora_capitata_KBHIv3	96.5% (246)	95.3% (243)	1.2% (3)	3.5% (9)	0.0% (0)	100% (255)
Montipora_capitata_WTHIv1.1	63.2% (161)	62.0% (158)	1.2% (3)	17.6% (45)	19.2% (49)	100% (255)
Montipora_efflorescens_SLJPv2	93.0% (237)	91.8% (234)	1.2% (3)	4.7% (12)	2.3% (6)	100% (255)
Montipora_sp1_aff_capitata_ULFMv1	83.9% (214)	72.5% (185)	11.4% (29)	15.3% (39)	0.8% (2)	100% (255)
Pocillopora_acuta_KBHIv2	97.2% (248)	93.3% (238)	3.9% (10)	2.0% (5)	0.8% (2)	100% (255)
Pocillopora_acuta_LBIDv1	65.9% (168)	65.5% (167)	0.4% (1)	20.8% (53)	13.3% (34)	100% (255)
Pocillopora_damicornis_SIPAv1	86.3% (220)	85.9% (219)	0.4% (1)	9.0% (23)	4.7% (12)	100% (255)
Pocillopora_meandrina_KBHIv1	96.5% (246)	96.1% (245)	0.4% (1)	3.1% (8)	0.4% (1)	100% (255)
Pocillopora_verrucosa_RSSAv1	90.2% (230)	88.6% (226)	1.6% (4)	5.1% (13)	4.7% (12)	100% (255)
Porites_australiensis_SLJPv1	89.4% (228)	86.7% (221)	2.7% (7)	7.5% (19)	3.1% (8)	100% (255)
Porites_compressa_KBHIv1	96.9% (247)	94.9% (242)	2.0% (5)	2.4% (6)	0.7% (2)	100% (255)
Porites_lutea_OIAUv1.1	92.2% (235)	91.0% (232)	1.2% (3)	4.3% (11)	3.5% (9)	100% (255)
Porites_rus_NAIDv1	59.6% (152)	58.0% (148)	1.6% (4)	25.1% (64)	15.3% (39)	100% (255)
Montipora_capitata_KBHIv3.chromosomes	96.5% (246)	95.3% (243)	1.2% (3)	3.1% (8)	0.4% (1)	100% (255)
Montipora_capitata_KBHIv3.extrachromosomal	1.6% (4)	1.2% (3)	0.4% (1)	2.4% (6)	96.0% (245)	100% (255)
