SampleID	Complete	Single-copy	Duplicated	Fragmented	Missing	Total
Montipora_cactus_SLJPv2	92.2% (235)	92.2% (235)	0.0% (0)	5.9% (15)	1.9% (5)	100% (255)
Montipora_capitata_KBHIv3	99.2% (253)	98.0% (250)	1.2% (3)	0.0% (0)	0.8% (2)	100% (255)
Montipora_capitata_WTHIv1.1	85.5% (218)	85.1% (217)	0.4% (1)	10.6% (27)	3.9% (10)	100% (255)
Montipora_efflorescens_SLJPv2	91.8% (234)	91.0% (232)	0.8% (2)	4.3% (11)	3.9% (10)	100% (255)
Montipora_sp1_aff_capitata_ULFMv1	82.7% (211)	82.7% (211)	0.0% (0)	14.9% (38)	2.4% (6)	100% (255)
Pocillopora_acuta_KBHIv2	98.5% (251)	96.5% (246)	2.0% (5)	0.8% (2)	0.7% (2)	100% (255)
Pocillopora_acuta_LBIDv1	91.4% (233)	90.6% (231)	0.8% (2)	4.3% (11)	4.3% (11)	100% (255)
Pocillopora_damicornis_SIPAv1	91.4% (233)	91.4% (233)	0.0% (0)	5.5% (14)	3.1% (8)	100% (255)
Pocillopora_meandrina_KBHIv1	98.8% (252)	98.4% (251)	0.4% (1)	0.4% (1)	0.8% (2)	100% (255)
Pocillopora_verrucosa_RSSAv1	98.0% (250)	92.5% (236)	5.5% (14)	1.2% (3)	0.8% (2)	100% (255)
Porites_australiensis_SLJPv1	94.9% (242)	92.5% (236)	2.4% (6)	3.5% (9)	1.6% (4)	100% (255)
Porites_compressa_KBHIv1	99.2% (253)	98.0% (250)	1.2% (3)	0.4% (1)	0.4% (1)	100% (255)
Porites_lutea_OIAUv1.1	98.5% (251)	96.9% (247)	1.6% (4)	0.4% (1)	1.1% (3)	100% (255)
Porites_rus_NAIDv1	67.1% (171)	65.9% (168)	1.2% (3)	22.7% (58)	10.2% (26)	100% (255)
Montipora_capitata_KBHIv3.chromosomes	98.4% (251)	97.6% (249)	0.8% (2)	0.4% (1)	1.2% (3)	100% (255)
Montipora_capitata_KBHIv3.extrachromosomal	2.8% (7)	2.4% (6)	0.4% (1)	2.0% (5)	95.2% (243)	100% (255)
